id	item_abstract	item_ortho	audio	item_type	bigram	is_training_word	is_training_root	is_training_residue	root_frequency	residue_frequency	root_extractability	residue_extractability	template	variation
gakty_train	gakty	teelpoh	teelpoh.wav	train	16	1	1	1	4	4	1	1	rsrrs	b4
kogdu_train	kogdu	leitmoo	leitmoo.wav	train	16	1	1	1	4	1	1	1	rsrrs	b4
digko_train	digko	mahtlei	mahtlei.wav	train	4	1	1	1	1	4	1	1	rsrrs	b4
gobgo_train	gobgo	teiktei	teiktei.wav	train	4	1	1	1	1	1	0	0	rsrrs	b4
tabpa_train	tabpa	peeksee	peeksee.wav	train	4	1	1	1	1	1	0	0	rsrrs	b4
kipky_train	kipky	lahsloh	lahsloh.wav	train	4	1	1	1	1	1	0	0	rsrrs	b4
bukpy_train	bukpy	koolsoh	koolsoh.wav	train	4	1	1	1	1	1	0	0	rsrrs	b4
kygti_train	kygti	lohtpah	lohtpah.wav	train	4	1	1	1	1	1	0	0	rsrrs	b4
petdo_train	petdo	saipmei	saipmei.wav	train	4	1	1	1	1	1	0	0	rsrrs	b4
dedte_train	dedte	maimpai	maimpai.wav	train	4	1	1	1	1	1	0	0	rsrrs	b4
dypga_train	dypga	mohstee	mohstee.wav	train	16	1	1	1	4	1	1	1	rsrrs	b4
pydgu_train	pydgu	sohmtoo	sohmtoo.wav	train	4	1	1	1	1	4	1	1	rsrrs	b4
batpi_train	batpi	keepsah	keepsah.wav	train	16	1	1	1	4	1	1	1	rsrrs	b4
gutbi_train	gutbi	toopkah	toopkah.wav	train	4	1	1	1	1	4	1	1	rsrrs	b4
tokde_train	tokde	peilmai	peilmai.wav	train	4	1	1	1	1	4	1	1	rsrrs	b4
tibke_train	tibke	pahklai	pahklai.wav	train	16	1	1	1	4	1	1	1	rsrrs	b4
pudbu_train	pudbu	soomkoo	soomkoo.wav	train	16	1	1	1	4	1	1	1	rsrrs	b4
bepba_train	bepba	kaiskee	kaiskee.wav	train	4	1	1	1	1	4	1	1	rsrrs	b4
gikto_train	gikto	tahlpei	tahlpei.wav	train	16	1	1	1	4	4	1	1	rsrrs	b4
kagdy_train	kagdy	leetmoh	leetmoh.wav	train	16	1	1	1	4	4	1	1	rsrrs	b4
gyktu_train	gyktu	tohlpoo	tohlpoo.wav	train	16	1	1	1	4	4	1	1	rsrrs	b4
