id	item_abstract	item_ortho	audio	item_type	bigram	is_training_word	is_training_root	is_training_residue	root_frequency	residue_frequency	root_extractability	residue_extractability	template	variation
gakty_train	gakty	taikmei	taikmei.wav	train	16	1	1	1	4	4	1	1	rsrrs	b5
kogdu_train	kogdu	kohtpah	kohtpah.wav	train	16	1	1	1	4	1	1	1	rsrrs	b5
digko_train	digko	peetkoh	peetkoh.wav	train	4	1	1	1	1	4	1	1	rsrrs	b5
gobgo_train	gobgo	tohstoh	tohstoh.wav	train	4	1	1	1	1	1	0	0	rsrrs	b5
tabpa_train	tabpa	maislai	maislai.wav	train	4	1	1	1	1	1	0	0	rsrrs	b5
kipky_train	kipky	keelkei	keelkei.wav	train	4	1	1	1	1	1	0	0	rsrrs	b5
bukpy_train	bukpy	sahklei	sahklei.wav	train	4	1	1	1	1	1	0	0	rsrrs	b5
kygti_train	kygti	keitmee	keitmee.wav	train	4	1	1	1	1	1	0	0	rsrrs	b5
petdo_train	petdo	loompoh	loompoh.wav	train	4	1	1	1	1	1	0	0	rsrrs	b5
dedte_train	dedte	poopmoo	poopmoo.wav	train	4	1	1	1	1	1	0	0	rsrrs	b5
dypga_train	dypga	peiltai	peiltai.wav	train	16	1	1	1	4	1	1	1	rsrrs	b5
pydgu_train	pydgu	leiptah	leiptah.wav	train	4	1	1	1	1	4	1	1	rsrrs	b5
batpi_train	batpi	saimlee	saimlee.wav	train	16	1	1	1	4	1	1	1	rsrrs	b5
gutbi_train	gutbi	tahmsee	tahmsee.wav	train	4	1	1	1	1	4	1	1	rsrrs	b5
tokde_train	tokde	mohkpoo	mohkpoo.wav	train	4	1	1	1	1	4	1	1	rsrrs	b5
tibke_train	tibke	meeskoo	meeskoo.wav	train	16	1	1	1	4	1	1	1	rsrrs	b5
pudbu_train	pudbu	lahpsah	lahpsah.wav	train	16	1	1	1	4	1	1	1	rsrrs	b5
bepba_train	bepba	soolsai	soolsai.wav	train	4	1	1	1	1	4	1	1	rsrrs	b5
gikto_train	gikto	teekmoh	teekmoh.wav	train	16	1	1	1	4	4	1	1	rsrrs	b5
kagdy_train	kagdy	kaitpei	kaitpei.wav	train	16	1	1	1	4	4	1	1	rsrrs	b5
gyktu_train	gyktu	teikmah	teikmah.wav	train	16	1	1	1	4	4	1	1	rsrrs	b5
dapgy_train	dapgy	pailtei	pailtei.wav	train	16	1	1	1	4	4	1	1	rsrrs	b5
gekta_train	gekta	tookmai	tookmai.wav	train	16	1	1	1	4	4	1	1	rsrrs	b5
padby_train	padby	laipsei	laipsei.wav	train	16	1	1	1	4	4	1	1	rsrrs	b5
