id	item_abstract	item_ortho	audio	item_type	bigram	is_training_word	is_training_root	is_training_residue	root_frequency	residue_frequency	root_extractability	residue_extractability	template	variation
gakty_train	gakty	keeplah	keeplah.wav	train	16	1	1	1	4	4	1	1	rsrrs	b6
kogdu_train	kogdu	paiksei	paiksei.wav	train	16	1	1	1	4	1	1	1	rsrrs	b6
digko_train	digko	sohkpai	sohkpai.wav	train	4	1	1	1	1	4	1	1	rsrrs	b6
gobgo_train	gobgo	kaitkai	kaitkai.wav	train	4	1	1	1	1	1	0	0	rsrrs	b6
tabpa_train	tabpa	leetmee	leetmee.wav	train	4	1	1	1	1	1	0	0	rsrrs	b6
kipky_train	kipky	pohmpah	pohmpah.wav	train	4	1	1	1	1	1	0	0	rsrrs	b6
bukpy_train	bukpy	teipmah	teipmah.wav	train	4	1	1	1	1	1	0	0	rsrrs	b6
kygti_train	kygti	pahkloh	pahkloh.wav	train	4	1	1	1	1	1	0	0	rsrrs	b6
petdo_train	petdo	moolsai	moolsai.wav	train	4	1	1	1	1	1	0	0	rsrrs	b6
dedte_train	dedte	soosloo	soosloo.wav	train	4	1	1	1	1	1	0	0	rsrrs	b6
dypga_train	dypga	sahmkee	sahmkee.wav	train	16	1	1	1	4	1	1	1	rsrrs	b6
pydgu_train	pydgu	mahskei	mahskei.wav	train	4	1	1	1	1	4	1	1	rsrrs	b6
batpi_train	batpi	teelmoh	teelmoh.wav	train	16	1	1	1	4	1	1	1	rsrrs	b6
gutbi_train	gutbi	keiltoh	keiltoh.wav	train	4	1	1	1	1	4	1	1	rsrrs	b6
tokde_train	tokde	laipsoo	laipsoo.wav	train	4	1	1	1	1	4	1	1	rsrrs	b6
tibke_train	tibke	lohtpoo	lohtpoo.wav	train	16	1	1	1	4	1	1	1	rsrrs	b6
pudbu_train	pudbu	meistei	meistei.wav	train	16	1	1	1	4	1	1	1	rsrrs	b6
bepba_train	bepba	toomtee	toomtee.wav	train	4	1	1	1	1	4	1	1	rsrrs	b6
gikto_train	gikto	kohplai	kohplai.wav	train	16	1	1	1	4	4	1	1	rsrrs	b6
kagdy_train	kagdy	peeksah	peeksah.wav	train	16	1	1	1	4	4	1	1	rsrrs	b6
gyktu_train	gyktu	kahplei	kahplei.wav	train	16	1	1	1	4	4	1	1	rsrrs	b6
dapgy_train	dapgy	seemkah	seemkah.wav	train	16	1	1	1	4	4	1	1	rsrrs	b6
gekta_train	gekta	kooplee	kooplee.wav	train	16	1	1	1	4	4	1	1	rsrrs	b6
padby_train	padby	meestah	meestah.wav	train	16	1	1	1	4	4	1	1	rsrrs	b6
kugdi_train	kugdi	peiksoh	peiksoh.wav	train	16	1	1	1	4	4	1	1	rsrrs	b6
