tabar~aj	00101001	brj	taa~a
tabas~am	00101001	bsm	taa~a
ba$~ar	101001	b$r	a~a
ba$~ir	101001	b$r	a~i
bA$ar	10101	b$r	Aa
bA$ir	10101	b$r	Ai
>abo$ar	0010101	b$r	>aoa
bo$ar	10101	b$r	oa
bo$ir	10101	b$r	oi
{isotabo$ar	00000010101	b$r	{isotaoa
sotabo$ir	000010101	b$r	sotaoi
baEud	10101	bEd	au
boEad	10101	bEd	oa
boEid	10101	bEd	oi
bAEad	10101	bEd	Aa
bAEid	10101	bEd	Ai
tabiE	10101	tbE	ai
tobaE	10101	tbE	oa
tobiE	10101	tbE	oi
>atobaE	0010101	tbE	>aoa
tobaE	10101	tbE	oa
tobiE	10101	tbE	oi
tarak	10101	trk	aa
vabat	10101	vbt	aa
vabut	10101	vbt	au
vobat	10101	vbt	oa
vobit	10101	vbt	oi
vab~at	101001	vbt	a~a
vab~it	101001	vbt	a~i
>avobat	0010101	vbt	>aoa
vobat	10101	vbt	oa
vobit	10101	vbt	oi
jaram	10101	jrm	aa
joram	10101	jrm	oa
jorim	10101	jrm	oi
>ajoram	0010101	jrm	>aoa
joram	10101	jrm	oa
jorim	10101	jrm	oi
>ajolab	0010101	jlb	>aoa
jolab	10101	jlb	oa
jolib	10101	jlb	oi
jalad	10101	jld	aa
jalid	10101	jld	ai
jalud	10101	jld	au
jolad	10101	jld	oa
jolid	10101	jld	oi
jamaH	10101	jmH	aa
jomaH	10101	jmH	oa
jamaE	10101	jmE	aa
jomaE	10101	jmE	oa
jomiE	10101	jmE	oi
>ajomaE	0010101	jmE	>aoa
jomaE	10101	jmE	oa
jomiE	10101	jmE	oi
{ijotamaE	001000101	jmE	{iotaa
jotamiE	1000101	jmE	otai
janab	10101	jnb	aa
jan~ab	101001	jnb	a~a
jan~ib	101001	jnb	a~i
tajan~ab	00101001	jnb	taa~a
{ijotanab	001000101	jnb	{iotaa
jotanib	1000101	jnb	otai
janaH	10101	jnH	aa
jonaH	10101	jnH	oa
joniH	10101	jnH	oi
jAhad	10101	jhd	Aa
jAhid	10101	jhd	Ai
jahar	10101	jhr	aa
jahur	10101	jhr	au
johar	10101	jhr	oa
jah~az	101001	jhz	a~a
jah~iz	101001	jhz	a~i
jahil	10101	jhl	ai
johal	10101	jhl	oa
Habar	10101	Hbr	aa
Habir	10101	Hbr	ai
Hobar	10101	Hbr	oa
Habas	10101	Hbs	aa
Hobis	10101	Hbs	oi
HabaT	10101	HbT	aa
HobaT	10101	HbT	oa
HobiT	10101	HbT	oi
>aHobaT	0010101	HbT	>aoa
HobaT	10101	HbT	oa
HobiT	10101	HbT	oi
>aHodav	0010101	Hdv	>aoa
Hodav	10101	Hdv	oa
Hodiv	10101	Hdv	oi
Ha*ir	10101	H*r	ai
Ho*ar	10101	H*r	oa
Ha*~ar	101001	H*r	a~a
Ha*~ir	101001	H*r	a~i
Harav	10101	Hrv	aa
Horiv	10101	Hrv	oi
HaraS	10101	HrS	aa
HariS	10101	HrS	ai
HoraS	10101	HrS	oa
HoriS	10101	HrS	oi
Har~aD	101001	HrD	a~a
Har~iD	101001	HrD	a~i
Har~af	101001	Hrf	a~a
Har~if	101001	Hrf	a~i
Har~aq	101001	Hrq	a~a
Har~iq	101001	Hrq	a~i
{iHotaraq	001000101	Hrq	{iotaa
Hotariq	1000101	Hrq	otai
Har~ak	101001	Hrk	a~a
Har~ik	101001	Hrk	a~i
Har~am	101001	Hrm	a~a
Har~im	101001	Hrm	a~i
Hazan	10101	Hzn	aa
Hazin	10101	Hzn	ai
Hozan	10101	Hzn	oa
Hozin	10101	Hzn	oi
Hasab	10101	Hsb	aa
Hasib	10101	Hsb	ai
Hasub	10101	Hsb	au
Hosib	10101	Hsb	oi
HAsab	10101	Hsb	Aa
HAsib	10101	Hsb	Ai
{iHotasab	001000101	Hsb	{iotaa
Hotasib	1000101	Hsb	otai
Hasad	10101	Hsd	aa
Hasun	10101	Hsn	au
Hosan	10101	Hsn	oa
Hosin	10101	Hsn	oi
>aHosan	0010101	Hsn	>aoa
Hosan	10101	Hsn	oa
Hosin	10101	Hsn	oi
Ha$ar	10101	H$r	aa
Ho$ir	10101	H$r	oi
HaSad	10101	HSd	aa
HoSid	10101	HSd	oi
HaSar	10101	HSr	aa
HaSir	10101	HSr	ai
HoSar	10101	HSr	oa
HoSir	10101	HSr	oi
HoSar	10101	HSr	oa
HoSir	10101	HSr	oi
>aHoSan	0010101	HSn	>aoa
HoSan	10101	HSn	oa
HoSin	10101	HSn	oi
HaDar	10101	HDr	aa
HoDar	10101	HDr	oa
HoDir	10101	HDr	oi
>aHoDar	0010101	HDr	>aoa
HoDar	10101	HDr	oa
HoDir	10101	HDr	oi
HaTam	10101	HTm	aa
HoTim	10101	HTm	oi
HafiZ	10101	HfZ	ai
HofaZ	10101	HfZ	oa
HofiZ	10101	HfZ	oi
HAfaZ	10101	HfZ	Aa
HAfiZ	10101	HfZ	Ai
{isotaHofaZ	00000010101	HfZ	{isotaoa
sotaHofiZ	000010101	HfZ	sotaoi
Hakam	10101	Hkm	aa
Hokam	10101	Hkm	oa
Hokim	10101	Hkm	oi
